playerID,salary1819,salary1920,salary2021,salary2122,salary2223,signedUsing,guaranteed
curryst01,37457154,40231758,43006362,45780966,NULL,Bird Rights,166476240
paulch01,35654150,38506482,41358814,44211146,NULL,NULL,159730592
westbru01,35654150,38178000,41006000,43848000,46662000,Bird Rights,158686150
jamesle01,35654150,37436858,39219565,41002273,NULL,NULL,113310573
griffbl01,32088932,34234964,36595996,38957028,NULL,Bird Rights,102919892
haywago01,31214295,32700690,34187085,NULL,NULL,Cap space,63914985
lowryky01,31200000,33296296,NULL,NULL,NULL,Bird Rights,64496296
georgpa01,30560700,33005556,35450412,37895268,NULL,Maximum Salary,99016668
conlemi01,30521116,32511623,34504132,NULL,NULL,Cap Space,85459122
hardeja01,30431854,37800000,40824000,43848000,46872000,Bird Rights,152903854
duranke01,30000000,31500000,NULL,NULL,NULL,NULL,30000000
millspa01,29730769,30500000,NULL,NULL,NULL,Cap space,29730769
horfoal01,28928710,30123015,NULL,NULL,NULL,Cap Space,28928710
lillada01,27977689,29802321,31626953,NULL,NULL,1st Round Pick,89406963
derozde01,27739975,27739975,27739975,NULL,NULL,Cap Space,55479950
boshch01,26837720,NULL,NULL,NULL,NULL,NULL,26837720
porteot01,26011913,27250576,28489239,NULL,NULL,Bird Rights,53262489
holidjr01,25976111,26131111,26131111,27020000,NULL,Bird Rights,78238333
mccolcj01,25759766,27556959,29354152,NULL,NULL,1st Round Pick,82670877
anthoca01,25534253,NULL,NULL,NULL,NULL,NULL,25534253
wiggian01,25467250,27270000,29290000,31310000,33330000,1st Round Pick,146667250
embiijo01,25467250,27270000,29290000,31310000,33330000,1st Round Pick,25467250
bealbr01,25434263,27093019,28751775,NULL,NULL,Cap Space,81279057
davisan02,25434263,27093019,28751775,NULL,NULL,1st Round Pick,52527282
drumman01,25434263,27093019,28751775,NULL,NULL,Cap Space,52527282
whiteha01,25434263,27093018,NULL,NULL,NULL,Cap Space,25434263
jokicni01,24605181,26573595,28542009,30510423,32478837,NULL,142710045
adamsst01,24157304,25842697,27528090,NULL,NULL,1st Round Pick,77528091
antetgi01,24157304,25842697,27528090,NULL,NULL,1st Round Pick,77528091
loveke01,24119025,28900000,31300000,31300000,28900000,Bird Rights,144519025
gasolma01,24119025,25595700,NULL,NULL,NULL,Bird Rights,24119025
parsoch01,24107258,25102511,NULL,NULL,NULL,Cap Space,49209769
barneha02,24107258,25102512,NULL,NULL,NULL,Cap Space,24107258
batumni01,24000000,25565217,27130434,NULL,NULL,Cap Space,49565217
goberru01,23241573,25008427,26525281,NULL,NULL,1st Round Pick,74775281
leonaka01,23114067,21329752,NULL,NULL,NULL,Bird Rights,23114067
jordade01,22900000,NULL,NULL,NULL,NULL,NULL,22900000
aldrila01,22347015,26000000,24000000,NULL,NULL,Cap Space,55347015
ibakase01,21666667,23271604,NULL,NULL,NULL,Cap space,44938271
gordoaa01,21590909,19863636,18136364,16409091,NULL,NULL,76000000
gallida01,21587579,22615559,NULL,NULL,NULL,Sign and Trade,44203138
oladivi01,21000000,21000000,21000000,NULL,NULL,1st Round Pick,63000000
butleji01,20445779,19841627,NULL,NULL,NULL,Bird Rights,20445779
anderry01,20421546,15600000,NULL,NULL,NULL,Cap Space,36021546
irvinky01,20099189,21329750,NULL,NULL,NULL,Bird Rights,20099189
parkeja01,20000000,20000000,NULL,NULL,NULL,NULL,20000000
lavinza01,19500000,19500000,19500000,19500000,NULL,NULL,78000000
johnsty01,19245370,19245370,NULL,NULL,NULL,Cap Space,19245370
walljo01,19169800,37800000,40824000,43848000,46872000,Bird Rights,141641800
hillge01,19000000,18000000,NULL,NULL,NULL,Cap space,20000000
teaguje01,19000000,19000000,NULL,NULL,NULL,Cap space,19000000
thompkl01,18988725,NULL,NULL,NULL,NULL,1st Round Pick,18988725
howardw01,18919725,NULL,NULL,NULL,NULL,NULL,18919725
kanteen01,18622514,NULL,NULL,NULL,NULL,NULL,18622514
matthwe02,18622514,NULL,NULL,NULL,NULL,NULL,18622514
noahjo01,18530000,6431666,6431666,6431666,NULL,NULL,37824998
crabbal01,18500000,18500000,NULL,NULL,NULL,Cap Space,18500000
dragigo01,18109175,19217900,NULL,NULL,NULL,Bird Rights,18109175
bazemke01,18089887,19269662,NULL,NULL,NULL,Cap Space,18089887
turneev01,17868852,18606557,NULL,NULL,NULL,Cap Space,36475409
greendr01,17469565,18539130,NULL,NULL,NULL,Bird Rights,36008695
thomptr01,17469565,18539130,NULL,NULL,NULL,Bird Rights,36008695
hardati02,17325000,18150000,18975000,NULL,NULL,Cap space,35475000
jacksre01,17043478,18086956,NULL,NULL,NULL,Bird Rights,35130434
fournev01,17000000,17000000,17000000,NULL,NULL,Cap Space,34000000
biyombi01,17000000,17000000,NULL,NULL,NULL,Cap Space,17000000
favorde01,16900000,16900000,NULL,NULL,NULL,NULL,16000000
valanjo01,16539326,17617977,NULL,NULL,NULL,1st Round Pick,16539326
harriga01,16517857,17839286,19160714,20482143,NULL,1st Round Pick,74000000
iguodan01,16000000,17185185,NULL,NULL,NULL,Bird Rights,33185185
mozgoti01,16000000,16720000,NULL,NULL,NULL,Cap Space,32720000
mahinia01,15944154,15450051,NULL,NULL,NULL,Cap Space,31394205
schrode01,15500000,15500000,15500000,NULL,NULL,1st Round Pick,46500000
carrode01,15400000,NULL,NULL,NULL,NULL,Cap Space,15400000
capelca01,15293104,16456522,17500000,18543478,19586957,NULL,87380061
dienggo01,15170787,16229213,17287640,NULL,NULL,1st Round Pick,48687640
gasolpa01,15100000,5100000,NULL,NULL,NULL,NULL,20200000
bledser01,15000000,15625000,16875000,18125000,19375000,Bird Rights,85000000
arizatr01,15000000,NULL,NULL,NULL,NULL,Cap Space,15000000
rubiori01,14975000,NULL,NULL,NULL,NULL,1st Round Pick,14975000
harrito02,14800000,NULL,NULL,NULL,NULL,Bird Rights,14800000
smithjr01,14720000,15680000,NULL,NULL,NULL,Bird Rights,18590000
johnsja01,14651700,15349400,16047100,NULL,NULL,Cap space,30001100
knighbr03,14631250,15643750,NULL,NULL,NULL,NULL,30275000
lopezro01,14357750,NULL,NULL,NULL,NULL,Cap Space,14357750
denglu01,14354067,4990000,4990000,4990000,NULL,NULL,29324067
willima02,14087500,15006250,NULL,NULL,NULL,Cap Space,14087500
gibsota01,14000000,NULL,NULL,NULL,NULL,Cap space,14000000
linje01,13768421,NULL,NULL,NULL,NULL,NULL,13768421
youngth01,13764045,NULL,NULL,NULL,NULL,Bird Rights,13764045
farieke01,13764045,NULL,NULL,NULL,NULL,NULL,13764045
chandty01,13585000,NULL,NULL,NULL,NULL,NULL,13585000
gortama01,13565218,NULL,NULL,NULL,NULL,NULL,13565218
zelleco01,13528090,14471910,15415730,NULL,NULL,1st Round Pick,43415730
gordoer01,13500375,14057730,NULL,NULL,NULL,Cap Space,27558105
inglejo01,13045455,11954546,10863637,NULL,NULL,Bird Rights,35863638
middlkh01,13000000,13000000,NULL,NULL,NULL,Bird Rights,13000000
kiddgmi01,13000000,13000000,NULL,NULL,NULL,1st Round Pick,13000000
plumlma01,12917808,14041096,NULL,NULL,NULL,Cap space,26958904
chandwi01,12800562,NULL,NULL,NULL,NULL,NULL,12800562
vucevni01,12750000,NULL,NULL,NULL,NULL,Bird Rights,12750000
clarkjo01,12500000,13437500,NULL,NULL,NULL,Cap Space,25937500
plumlmi01,12500000,12500000,NULL,NULL,NULL,Bird Rights,25000000
mirotni01,12500000,NULL,NULL,NULL,NULL,Cap space,12500000
evansty01,12400000,NULL,NULL,NULL,NULL,NULL,12400000
leeco01,12253780,12759670,NULL,NULL,NULL,Cap Space,25013450
hillso01,12252928,13258781,NULL,NULL,NULL,Cap Space,25511709
redicjj01,12250000,NULL,NULL,NULL,NULL,NULL,12250000
olynyke01,12137527,11667885,12198243,NULL,NULL,Cap space,23805412
riverau01,12000000,NULL,NULL,NULL,NULL,NULL,12000000
bradlav01,12000000,12960000,NULL,NULL,NULL,NULL,12000000
caldwke01,12000000,NULL,NULL,NULL,NULL,NULL,12000000
walkeke02,12000000,NULL,NULL,NULL,NULL,1st Round Pick,12000000
bartowi01,11830358,12960000,13920000,14880000,NULL,NULL,38710358
warretj01,11750000,10810000,11750000,12690000,NULL,1st Round Pick,47000000
randoza01,11692308,NULL,NULL,NULL,NULL,NULL,11692308
smartma01,11660716,12553471,13446428,14339285,NULL,NULL,51999900
millspa02,11571429,12428571,13285714,NULL,NULL,Bird Rights,37285714
waitedi01,11550000,12100000,12650000,NULL,NULL,Cap space,36300000
burksal01,11536515,NULL,NULL,NULL,NULL,1st Round Pick,11536515
hensojo01,11327466,9732396,NULL,NULL,NULL,1st Round Pick,21059862
asikom01,11286516,3000000,NULL,NULL,NULL,NULL,14286516
nurkiju01,11111111,12000000,12000000,12000000,NULL,NULL,39111111
shumpim01,11011234,NULL,NULL,NULL,NULL,Bird Rights,11011234
harklma01,10837079,11511234,NULL,NULL,NULL,Cap Space,22348313
snellto01,10607143,11392857,12178571,NULL,NULL,Cap space,22000000
leoname01,10595506,11286515,NULL,NULL,NULL,Cap Space,21882021
rosste01,10500000,NULL,NULL,NULL,NULL,Rookie scale extension,10500000
bogdabo02,10500000,NULL,NULL,NULL,NULL,Cap space,10500000
covinro01,10464092,11301219,12138345,12975471,NULL,Cap Space,46879127
gayru01,10087200,NULL,NULL,NULL,NULL,Non-Bird Rights,10087200
leuerjo01,10002681,9508043,NULL,NULL,NULL,Cap Space,19510724
roberan03,10000000,10740741,NULL,NULL,NULL,Bird Rights,20740741
greenda02,10000000,NULL,NULL,NULL,NULL,Bird Rights,10000000
collida01,10000000,NULL,NULL,NULL,NULL,Cap space,10000000
poweldw01,9631250,10259375,NULL,NULL,NULL,Cap Space,9631250
dellama01,9607500,9607500,NULL,NULL,NULL,Cap Space,19215000
exumda01,9600000,9600000,9600000,NULL,NULL,Cap Space,27300000
dudleja01,9530000,NULL,NULL,NULL,NULL,Cap Space,9530000
powelno01,9367200,10116576,10865952,11615328,NULL,Cap Space,30349728
richajo01,9367200,10100000,10800000,11600000,NULL,Minimum Salary,30267200
bogdabo01,9000000,8529386,NULL,NULL,NULL,Cap space,17529386
rondora01,9000000,NULL,NULL,NULL,NULL,NULL,9000000
mooreet01,8808685,8664928,NULL,NULL,NULL,Cap Space,17473613
koufoko01,8739500,NULL,NULL,NULL,NULL,Cap Space,8739500
grantje01,8653847,9346153,9346153,NULL,NULL,NULL,18000000
vanvlfr01,8653847,9000000,NULL,NULL,NULL,Bird Rights,17653847
anderky01,8641000,9073050,9505100,9937150,NULL,MLE,37156300
randlju01,8641000,9073050,NULL,NULL,NULL,MLE,8641000
morrima02,8600000,NULL,NULL,NULL,NULL,NULL,8600000
bayleje01,8575916,NULL,NULL,NULL,NULL,Cap Space,8575916
feliccr01,8470980,8156500,7529020,NULL,NULL,Cap space,24156500
fultzma01,8339880,9745200,12288697,NULL,NULL,1st Round Pick,18085080
harrijo01,8333333,7670000,NULL,NULL,NULL,Early Bird Rights,16003333
milescj01,8333333,8730158,NULL,NULL,NULL,MLE,8333333
livinsh01,8307692,7692308,NULL,NULL,NULL,Bird Rights,10307692
aytonde01,8165160,9562920,10018200,12632950,NULL,1st Round Pick,17728080
willilo02,8000000,8000000,1500000,NULL,NULL,Cap Space,16000000
templga01,8000000,NULL,NULL,NULL,NULL,Cap Space,8000000
tuckepj01,7969537,8349039,7969537,NULL,NULL,MLE,18887764
josepco01,7945000,NULL,NULL,NULL,NULL,Cap Space,7945000
greenja01,7866667,NULL,NULL,NULL,NULL,Bird Rights,7866667
townska01,7839435,27250000,29430000,31610000,33790000,1st round pick,163709435
korveky01,7560000,7500000,NULL,NULL,NULL,Bird Rights,11000000
lambje01,7488372,NULL,NULL,NULL,NULL,Rookie scale extension,7488372
arthuda01,7464912,NULL,NULL,NULL,NULL,NULL,7464912
balllo01,7461960,8719320,11003782,NULL,NULL,1st Round Pick,16181280
mcderdo01,7333334,7333334,7333333,NULL,NULL,NULL,22000001
crowdja01,7305825,7815533,NULL,NULL,NULL,Bird Rights,15121358
baglema01,7305600,8556120,8963640,11312114,NULL,1st Round Pick,15861720
augusdj01,7250000,7250000,NULL,NULL,NULL,Cap Space,14500000
dedmode01,7200000,NULL,NULL,NULL,NULL,Cap space,7200000
thomala01,7119650,7583975,NULL,NULL,NULL,Cap Space,8119650
russeda01,7019698,NULL,NULL,NULL,NULL,1st round pick,7019698
gallola01,7000000,7333333,NULL,NULL,NULL,MLE,14333333
bertada01,7000000,7000000,NULL,NULL,NULL,Early Bird Rights,14000000
ilyaser01,7000000,7000000,7000000,NULL,NULL,MLE,14000000
marjabo01,7000000,NULL,NULL,NULL,NULL,Cap Space,7000000
aminual01,6957105,NULL,NULL,NULL,NULL,Cap Space,6957105
tatumja01,6700800,7830000,9897120,NULL,NULL,1st Round Pick,14530800
doncilu01,6560640,7683360,8049360,10174391,NULL,1st Round Pick,14244000
bjeline01,6500000,6825000,7150000,NULL,NULL,NULL,13325000
hezonma01,6500000,NULL,NULL,NULL,NULL,MLE,6500000
simmobe01,6434520,8113930,NULL,NULL,NULL,1st Round pick,14548450
teodomi01,6300000,NULL,NULL,NULL,NULL,NULL,6300000
ellinwa01,6270000,NULL,NULL,NULL,NULL,NULL,6270000
belinma01,6153846,5846154,NULL,NULL,NULL,MLE,12000000
johnswe01,6134520,NULL,NULL,NULL,NULL,Cap Space,6134520
jacksjo02,6041520,7059480,8930242,NULL,NULL,1st Round Pick,13101000
harremo01,6000000,6000000,NULL,NULL,NULL,NULL,12000000
simmojo02,6000000,5700000,NULL,NULL,NULL,Cap space,7000000
smithis01,6000000,NULL,NULL,NULL,NULL,Cap Space,6000000
jacksja02,5915040,6927480,7257360,9180560,NULL,1st Round Pick,12842520
ingrabr01,5757120,7265485,NULL,NULL,NULL,1st Round pick,13022605
tollian01,5750000,NULL,NULL,NULL,NULL,MLE,5750000
porzikr01,5697054,NULL,NULL,NULL,NULL,1st round pick,5697054
willide01,5474787,5474787,NULL,NULL,NULL,NULL,10949574
foxde01,5470920,6392760,8099627,NULL,NULL,1st Round Pick,11863680
mclembe01,5460000,NULL,NULL,NULL,NULL,NULL,5460000
abrinal01,5455236,NULL,NULL,NULL,NULL,NULL,5455236
pattepa01,5451600,5711200,NULL,NULL,NULL,MLE,5451600
smithja02,5450000,NULL,NULL,NULL,NULL,Cap Space,5450000
morrima03,5375000,NULL,NULL,NULL,NULL,Bird Rights,5375000
youngtr01,5356440,6273000,6571800,8326471,NULL,1st Round Pick,11629440
howardw01,5337000,5603850,NULL,NULL,NULL,MLE,5337000
couside01,5337000,NULL,NULL,NULL,NULL,MLE,5337000
smithjo03,5331729,5331729,NULL,NULL,NULL,NULL,10663458
ajincal01,5285394,NULL,NULL,NULL,NULL,NULL,5285394
sefolth01,5250000,NULL,NULL,NULL,NULL,Cap space,5250000
baynear01,5193600,5453280,NULL,NULL,NULL,NULL,5193600
brownja02,5169960,6534829,NULL,NULL,NULL,1st Rd pick,11704789
beverpa01,5027028,NULL,NULL,NULL,NULL,Bird Rights,5027028
parketo01,5000000,5000000,NULL,NULL,NULL,MLE,10000000
muscami01,5000000,NULL,NULL,NULL,NULL,Cap space,5000000
nowitdi01,5000000,NULL,NULL,NULL,NULL,Cap Space,5000000
isaacjo01,4969080,5806440,7362566,NULL,NULL,1st Round Pick,10775520
bambamo01,4865040,5697600,5969040,7568742,NULL,1st Round Pick,24100422
caulewi01,4696875,NULL,NULL,NULL,NULL,1st round pick,4696875
bendedr01,4661280,NULL,NULL,NULL,NULL,1st Round pick,4661280
bakerro01,4544400,NULL,NULL,NULL,NULL,NULL,4544400
markkla01,4536120,5300400,6731508,NULL,NULL,1st Round Pick,9836520
stephla01,4449000,NULL,NULL,NULL,NULL,NULL,4449000
oquinky01,4449000,NULL,NULL,NULL,NULL,Room Exception,4449000
davised01,4449000,NULL,NULL,NULL,NULL,Room Exception,4449000
cartewe01,4441200,5201400,5448840,6920027,NULL,1st Round Pick,9642600
holidju01,4384616,NULL,NULL,NULL,NULL,MLE,4384616
lenal01,4350000,4160000,NULL,NULL,NULL,Room Exception,8510000
scottmi01,4320500,NULL,NULL,NULL,NULL,MLE,4320500
mbahalu01,4320500,NULL,NULL,NULL,NULL,MLE,4320500
mudiaem01,4294480,NULL,NULL,NULL,NULL,1st round pick,4294480
dunnkr01,4221000,5348007,NULL,NULL,NULL,1st Round pick,9569007
ntilila01,4155720,4855800,6176578,NULL,NULL,1st Round Pick,9011520
robingl02,4075000,4150000,NULL,NULL,NULL,MLE,4075000
sextoco01,4068600,4764960,4991880,6349671,NULL,1st Round Pick,8833560
jeffeal01,4000000,NULL,NULL,NULL,NULL,NULL,4000000
johnsst04,3940402,NULL,NULL,NULL,NULL,1st round pick,3940402
hieldbu01,3833760,4861208,NULL,NULL,NULL,1st Round pick,8694968
smithde03,3819960,4463640,5686677,NULL,NULL,1st Round Pick,8283600
knoxke01,3739920,4380120,4588680,5845978,NULL,1st Round Pick,8120040
bareajo01,3710850,NULL,NULL,NULL,NULL,Cap Space,3710850
hilarne01,3651480,3825360,NULL,NULL,NULL,Non-Bird Rights,7476840
colliza01,3628920,4240200,5406255,NULL,NULL,1st Round Pick,7869120
kaminfr01,3627842,NULL,NULL,NULL,NULL,1st round pick,3627842
bridgmi01,3552960,4161000,4359000,5557725,NULL,1st Round Pick,7713960
teletmi01,3500000,3500000,3500000,NULL,NULL,NULL,10500000
beaslmi01,3500000,NULL,NULL,NULL,NULL,NULL,3500000
murraja01,3499800,4444746,NULL,NULL,NULL,1st Round pick,7944546
hoodro01,3472887,NULL,NULL,NULL,NULL,NULL,3472887
meeksjo01,3454500,NULL,NULL,NULL,NULL,NULL,3454500
winslju01,3448926,13000000,13000000,13000000,NULL,1st round pick,29448926
monkma01,3447480,4028400,5345687,NULL,NULL,1st Round Pick,7475880
turnemy01,3410284,18000000,18000000,18000000,18000000,1st round pick,75410284
trieral01,3382000,3551100,NULL,NULL,NULL,Bi-Annual Exception,3382000
lopezbr01,3382000,NULL,NULL,NULL,NULL,Bi-annual Exception,3382000
gilgesh01,3375360,3952920,4141320,5495532,NULL,1st Round Pick,7328280
lylestr01,3364249,NULL,NULL,NULL,NULL,1st round pick,3364249
udohek01,3360000,NULL,NULL,NULL,NULL,Room Exception,3360000
bookede01,3314365,27250000,29430000,31610000,33790000,1st round pick,161364365
kennalu01,3275280,3827160,5273826,NULL,NULL,1st Round Pick,7102440
payneca01,3263295,NULL,NULL,NULL,NULL,NULL,3263295
danietr01,3258539,NULL,NULL,NULL,NULL,Cap Space,3258539
oubreke01,3208630,NULL,NULL,NULL,NULL,1st round pick,3208630
bridgmi02,3206640,3755400,3934320,5421493,NULL,1st Round Pick,6962040
